Role,Company,Location
Sr. Data Scientist,Lotus Interworks Inc,"Remote in Mumbai, Maharashtra"
Lead Data Scientist,BOEING,"Bengaluru, Karnataka"
Data & Applied Scientist,Microsoft,"Remote in Hyderabad, Telangana"
Data Scientist,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka"
Junior Data Scientist,Drizzlin Media,Remote
Associate Data Scientist (Operations Research),Aera Technology,"Remote in Pune, Maharashtra"
Data Scientist,Airtel India,"Gurgaon, Gurugram, Haryana+1 location"
Data Scientist,Indigo Airlines,"Gurgaon, Haryana"
Data & Analytics,WTW,"Thane, Maharashtra"
Data Scientist,Elvira Technologies,"Gurugram, Haryana"
Lead Data Scientist,BNY Mellon,"Pune, Maharashtra+1 location"
Data Scientist/Decision Scientist,PayU,"Bengaluru, Karnataka"
Data Scientist,Marktine Technology Solutions,"Delhi, Delhi+1 location"
Engineering Leader - Machine Learning,Eightfold.AI,India+1 location
Data Scientist II,Honeywell,"Bengaluru, Karnataka"
Data Scientist,ARA Resources,"New Delhi, Delhi"
Data Scientist,HP,"Bengaluru, Karnataka"
EY - GDS Consulting - Data Scientist - Senior,EY,"Hyderabad, Telangana"
Associate Data Scientist,Kmart,"Bengaluru, Karnataka"
Data Science Intern,Monty Careers,"Vijayawada, Andhra Pradesh"
Data Science,Globussoft Technologies,"Bengaluru, Karnataka"
Data Scientist,Flipped.ai,"Chennai, Tamil Nadu"
Data Scientist,Capgemini,"Bengaluru, Karnataka"
Data Scientist,Equbot India,"Bengaluru, Karnataka"
Data Scientist,SimplyFI Softech India Private Limited,"Bengaluru, Karnataka"
A&A -Sr. Data Scientist - AI POD,Deloitte,"Bengaluru, Karnataka"
Data Scientist (India Remote),Token Metrics,"Remote in Hyderabad, Telangana"
Data Science SME | WFH,Karanji Infotech,"Remote in Bengaluru, Karnataka"
Data Scientist,Nordic Intent,"Bardez, Goa"
Machine Learning & Software Programming,Enterprise Hiring Solution,"Bengaluru, Karnataka"
Technology Analyst: Data Science | Machine Learning,Infosys Limited,"Bengaluru, Karnataka"
Data Scientist,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu"
Data Scientist,Techno Kryon,"Chennai, Tamil Nadu"
Data Scientist,Capgemini Invent,"Bengaluru, Karnataka"
Sr. Data Scientist,Insourcedev Pvt Ltd,Remote
Data Scientist,Tanla Solutions,"Madhapur, Hyderabad, Telangana"
Data Scientist Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra"
Jr. Data Scientist,Complete job,"Indian Institute Of Management, Gujarat"
Data Scientist,Careerdimensions,"Hinjawadi, Pune, Maharashtra"
Data scientist - Lead,ICICI Prudential Life,"Mumbai, Maharashtra"
"Data Scientist - Python, ML",UnitedHealth Group,"Gurgaon, Haryana"
Data Scientist Internship,Orion Club,"Kochi, Kerala"
Data scientist - Battery models,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka"
Data Scientist/ Data Analyst,Splashgain,"Pune, Maharashtra"
Senior Data Science,Adidas,"Gurgaon, Haryana"
Machine Learning Engineer,Finarkein Analytics Pvt. Ltd.,"Remote in Pune, Maharashtra"
Data Analyst / Data Scientist,Amber Internet solutions,"Pune, Maharashtra"
Data Scientist (Analyst),Visa,"Temporarily Remote in Bengaluru, Karnataka"
Power BI Data Analytics & Data Scientist,Emerson,"Pune, Maharashtra"
ML/Data Scientist,GiBots,"Pune, Maharashtra"
Data Scientist,UnitedHealth Group,"Noida, Uttar Pradesh"
Data scientist,ABB,"Bengaluru, Karnataka"
Sr Demand Data Scientist,AkzoNobel,"Pune, Maharashtra"
Data Scientist,CityLink Technology Solutions,"Pune, Maharashtra"
Data scientist,Tru View,"Mumbai, Maharashtra"
Data Scientist,US Fair Group Inc,"Remote in Delhi, Delhi"
DATA SCIENTIST,Tech27 Systems Ltd.,"Calicut, Kerala"
Engineer Data Science,Emerson,"Pune, Maharashtra"
Vehicle Energy Efficiency Bench marking & Data Analytics,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka"
Jr Data Analyst | Jr Data Scientist,AIBridge ML,"Hyderabad, Telangana"
Data Science Trainer Jobs,SMEClabs,"Kochi, Kerala"
Data Science - Manager,Deloitte,"Bengaluru, Karnataka"
Data Scientist (Machine Learning),TechStep,"Hadapsar, Pune, Maharashtra"
Data Science Specialist,Transorg Analytics,"Remote in Gurgaon, Haryana"
Data Science - Intern,Eaton,"Hadapsar, Pune, Maharashtra"
Data Scientist,RedLotus,"Mumbai, Maharashtra"
Data Scientist,Adidas,"Gurgaon, Haryana"
Data Scientist,Btrnsfrmd Consulting LLC,"Remote in Bengaluru, Karnataka"
Data Scientist,Iris software,"Noida, Uttar Pradesh"
Data Science Intern,prwatech technologies,"Pune, Maharashtra"
Staff Data Scientist,ServiceNow,"Hyderabad, Telangana"
Asset Managment - Data Scientist - Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra"
Data Scientist (MLOps ),Hewlett Packard Enterprise,"Bengaluru, Karnataka"
Data Scientist,Clariant,"Airoli, Navi Mumbai, Maharashtra"
Data Scientist - Product Development,ABB,"Bengaluru, Karnataka"
Data Scientist,Harman International,"Bengaluru, Karnataka"
Data Engineers - Data Analytics Competence,Atlas Copco (India) Ltd.,"Remote in Pune, Maharashtra"
Data Science,Infosys Limited,"Bengaluru, Karnataka"
Data Scientist,Eoraa & Co.,"New Delhi, Delhi"
AI/ML Engineer,BizAcuity,India
DATA SCIENTIST,LTIMindtree,"Bengaluru, Karnataka"
Data Scientist Intern,PAGO Analytics,"Hyderabad, Telangana"
Data Scientist,Pivotchain Solution Technologies,"Pune, Maharashtra"
Data Scientist,IBST Private Limited,"Pune, Maharashtra+5 locations"
Data scientist,Vingsfire pvt ltd,"Remote in Hyderabad, Telangana"
Machine Learning Engineer,Rukmine informatics,"Surat, Gujarat"
Data Scientist,ZL Technologies,"Hyderabad, Telangana"
Vacancy for Data Scientist,Serendipity Corporate Services,"Pune, Maharashtra"
Associate Manager - Data Science - NWE,PepsiCo,"Remote in Hyderabad, Telangana"
Data Scientist - Machine Learning/Artificial Intelligence,Partnersoft Technologies Private Limited,"Chennai, Tamil Nadu"
Data Scientist,Lenskart,"Gurgaon, Haryana"
Data Science-Consultant - Operation Research,Wipro Limited,"Bengaluru, Karnataka"
Data Scientist,Caterpillar,"Chennai, Tamil Nadu"
Junior Data Scientist (Breast Cancer Clinical Data),Centre For Translational Cancer Research...,"Temporarily Remote in Pune, Maharashtra"
"Manager, Clinical Data Scientist, Clinical Data Sciences",Pfizer,"Chennai, Tamil Nadu"
Data Scientist - All Levels,Greenizon Agritech Consultancy,"Bengaluru, Karnataka"
Data Scientist,Trovech Infotech Pvt Ltd,"Bengaluru, Karnataka"
Data Scientist,Ernst & Yong,"Hyderabad, Telangana"
Data Scientist,Infosys Limited,"Bengaluru, Karnataka"
Data Scientist,GSN Solutions LLC (Pyx Tech Pvt Ltd),"Remote in Pune, Maharashtra"
Chief Data Scientist,Comviva,"Gurgaon, Haryana"
Data Science Internship,edyst,"Hyderabad, Telangana"
Data Scientist,EarlySalary,"Pune, Maharashtra"
Data Science Training and Placement,Monty Careers,"Hyderabad, Telangana"
Data Scientist,KPIT Technologies GmbH,"Bengaluru, Karnataka"
Data Scientist,Navikenz,"Bengaluru, Karnataka"
Senior Data Scientist – Data & Analytics,Mastercard,"Gurgaon, Haryana"
Junior Data Scientist,Risk Edge Solutions,"Hyderabad, Telangana"
Data Science Intern,Perpetual Invention,"Pune, Maharashtra"
Data Scientist,CloudXsparks Technologies,"Hyderabad, Telangana"
Data Scientist,A for Analytics IT Solutions,"Chennai, Tamil Nadu"
Data Scientist,Escalent,"Hybrid remote in Noida, Uttar Pradesh"
Research Associate – Data Science,Recode Minds,"Hyderabad, Telangana"
Supply Chain Network Data & Analytics Specialist,Colgate-Palmolive,"Mumbai, Maharashtra"
0010_ Data Scientist-ANZ,Recruise India Consulting Pvt Ltd,"Hyderabad, Telangana"
Intern-Data Analytics,Merkle,"Pune, Maharashtra"
Data Scientist,Zedbee Technologies,"New Delhi, Delhi"
Machine Learning Engineer,Flipped.ai,"Bengaluru, Karnataka"
"Data & Analytics Lead, Geo Analytics",Boston Consulting Group,"New Delhi, Delhi+1 location"
Data Scientist 1,Kinara Capital,"Bengaluru, Karnataka"
